portugues,tupi_antigo
Tornando possíveis coisas que são difíceis,Mba'e i abaiba'e moabaibe'yma
Podem também as pessoas casar-se diante de um outro padre,Ikatu bé abá omendá amoaé abaré robaké
Vem para fazê-lo experimentar o sofrimento,Eîori i moporaraa'anga
"Baixou a cabeça, ficando a gritar",Oîeaŷbyk ogûasem-asemamo
Igualmente se preocuparão em fazer seus filhos estarem na virtude?,Oîoîabenhẽpe tekokatu resé o a'yra moingoagûama ri i nhemosaînanyne?
Dizendo a um canto de pássaro ou a um urro de onça que são agouros,Gûyrá koîpó îagûara nhe'enga supé morangygûana o'îabo
"Ah, quem me dera o tivesse matado!",Aîukámo mã!
mastro da embarcação,ygara rokytá
"o que tem corpo, o que é corpóreo",seteba'e
"Abri-me a boca, bocejei",Aîeîuru-pirar
É para mim terrível vê-los,I abaeté sepîaka ixébo
"Portanto, esses são os mandamentos do Senhor Deus a nós",Irõ ianga Pa'i Tupã îandé rekomonhangaba
Lacei a perna dele,Asetymã-maman
o que é cego,sesabyba'e
"E por outra parte, semelhantemente, o próprio mar será mais terrível do que era seu costume",Kokoty paranã aé rame'ĩ o abaetéramo erimba'e gûekoagûera sosé
pescador com puçá-guaçu,pysagûasu-eîtykara
Toleraste o desejo sensual em direção a ti?,Eresepîakĩpe îopotara nde kotype?
Todo seu sangue fazendo derramar,Og ugûy-tekatu i mo'ẽ-uká
"Entregando tua alma, que Deus dignifica, para o diabo",Nde 'anga Tupã remimomba'eté me'enga anhanga pé
"Deleitando-se com as escravas ruins, não quiseram vir aqui","Tapuîpé-poxy mborypa, tupotare'ymi iké"
Vida longa de minha alma,Xe 'anga rekó-puku
Amarra tua rede ao lado de mim,Eîotĩ nde kesaba xe porupi
Fico a espojar-me,Aîeré-îereb
Desarmaste as armadilhas de teu próximo?,Ereîmopyĩpe nde rapixara mundé?
Por que alguém se casa?,Mba'erama resépe abá mendari?
Será que eu irei?,Asóp'ixéne ri?
"Ah, que bom seria se Deus me levasse!",Marãîasûaramo Tupã xe rerasóû mã!
Desdisse minhas palavras,Asekobîarõ xe nhe'enga
Logo ao ouvir o nome dela eu me escondo em outra parte,Serenduba rupibé amongoty xe nhemimi
Qual é o modo verdadeiro de chamar os batizados?,Marãpe i mongaraibypyramo renõîndabeté?
Costumo alimentar gente,Xe poropoîxûer
Vem-me à memória minha vida passada em minha terra,I 'ã i 'ang xe retãme xe rekoagûera ixébo
Rezando a ele no tempo de sua aflição,I xupé o ekotebẽsaba resé oîerurébo
Somente até aqui hei de nomear coisas para ti,Nõmo nhõ ma'e t'asenõî ndebe
Por que não seriam muito fortes?,Marãmo satãngatue'ymamo?
"Será que estais sossegados, sem mais, nos vossos montes de maldades?",Pe apysykĩ serã peîkóbo pe rekomemûã aty-atyra pupé?
Peço a Deus por minha virtude,Aîeruré Tupã supé xe angaturãgûama resé
Escorei-o,Aîokok
Eu não estou feliz,Na xe rorybi
"o pai de meus filhos (isto é, meu marido legítimo)",xe membyra ruba
"Seu sangue era muito, no chão escorrendo",Sugûy turusu ybype osyryka
Cingi-me,Aîeku'apûar
"Que entres no meu coração, guardando bem meu interior","Xe nhy'ãme t'ereîké, xe py'a moingatûabo"
"Estando doente, de verdade, não a ouviste, ou sendo preguiçoso?",Nde mba'easyramo épe nd'eresendubi koîpó nde ate'ymamo nhẽ?
"Eis que sobre o capim ele está deitado, no lugar de comer da vaca","Kapi'ĩ sosé kó tuî, tapi'irusu karuápe"
Quero muito mesmo todas as aldeias destruir,Aîpotá-katutenhẽ opabĩ taba mondyka
"Sua vista aguda desaparece, tapando-se seus ouvidos","Sesapysopûera kanhemi, iî apysaká oîe'obo"
Aqueles serão os futuros habitantes do fundo de nosso fogo,Aîpó îandé ratá gûyra porama
Tomaste o animal que a onça matou?,Ereîápe so'o îagûara remiîukapûera?
Amarrei-o pelos pés,Aîpukusãmoín
"Tu não sossegas, não sabendo as ações dos inimigos","Na nde apysyki, tobaîara rekorama kuabe'yma"
Adversária da morte,Te'õ rupîara nhẽ
o cacho delas,saryba
Hei de comer seus miolos,I 'aputu'uma t'a'u
Não morarás com tua gente?,Nd'ereîkóî xópe nde anama irũmo?
Ele é o anjo que encomenda o enforcamento,"Karaibebé a'e, moroîubyka puaîtara"
"Que não fique de cara feia para ele, tratando-o bem","Ta sobasy umẽ i xupé, serekokatûabo"
Se não fosse a vinda do fulano,Ahẽ ruraba a'eîponomã
"Os moços, os homens, as moças, a todos bem os tenho em minhas mãos como meus súditos","Kunumĩgûasu, apŷaba, kunhãmuku, xe boîáramo pabẽ xe pópe arekó-katu"
A terceira (virtude) dele é a satisfação dos cônjuges,I momosapysaba mendara moîekosupaba
O que trabalha perto de mim,Xe pyri marãtekoara
Segui adiante,Akûabĩ tenondé
Que nos leve para seu lugar de felicidade para nos fazer regozijar consigo,T'îandé rerasó o orypápe o îoesé îandé moîekosupa
Chegou a nós sua luz para sempre,Osyk oré ri sendy îepi nhẽ
Mostrando-lhe certa árvore que estava no meio do seu jardim,Amõ 'yba gûemityma pyterype o'amba'e kuabe'enga
Pus-lhe touca,Aîakangaó-rung
"Apanhai-o bem hoje, dele tomando conta",Peîpysy-katu kori sesé pemaînãngatûabo
Que será que a gente detestará?,Mba'epe asé ogûeroŷrõ ra'ene?
Matemos juntos o que diz isso,Îaîuká memẽ aîpó 'îara
Eu tenho muitas bolhas,Xe piru'a-ru'a
O maldito não difere de uma arara,Nd'oîabyî muru arara
farinha da mesma água da mandioca crua coalhada,typy'o-ku'i
imitando a queda das frutas maduras,ybá-'apuba kuîa ra'anga
Ela é muito larga,I popebusu
Que tipo de coisa será que é isto?,Marãba'ep'iã ri?
"Junto do diabo lançando-os, com o qual queimará para sempre",Anhanga pyri seîtyka aûîeramanhẽ i kaîagûama
rarissimamente,marangatuabé é
"Aqui os homens estão, na verdade, para me ficar ameaçando",Ké abá rekóû anhẽ xe renopu'ã-pu'ama
Eu estou olheirento,Xe resakûarumbyk
Onde Deus está?,Mamõpe Tupã rekóû?
"os tupiniquins, habitantes daqui",tupinakyîa keygûara
Abre a porta de tua casa,Esokendabok nde roka
Enruguei-me,Anhynhyng
"Que saia o diabo dela, apartando-se com seu mau proceder","T'osẽ Anhanga i xuí, gûekó-poxy rerosyîa"
Eu sou um homem feito,Xe abagûasu
"Embora ele fosse nosso pai primeiro, o que (lhe) foi dito foi ""-Não comas este fruto""","Aûîeté a'e îandé rubypy, ""-E'u umẽ ikó 'ybá"" 'îagûera"
Eu estou rugoso,Xe axixã
"Esta aldeia, não disseste maldades a ela ainda?","Ikó tabape, marã nd'eréîpe i xupé ranhẽ?"
Lanço [à água] a canoa,Aîtyk ygara
"A que ingere uma poção, querendo matar seu feto",O puru'a îuká potá mosanga o'uba'e
Vem novamente para curá-los todos!,Eîorino i mombûeîrá pá!
a lei primeira,tekó-ypy
"Na verdade, ver-me-eis estar sentado futuramente do lado direito de Deus Pai",Anheté pesepîak irã Tupã Tuba 'ekatuaba koty xe gûapyka xe renane
O homem que esconde algo,Abá mba'e omimba'e
Eu estou caindo de sono,Xe kerá-kerar
Levo uma vida boa,Tekó-katu aîporará
Mas que nós não paremos de chamá-la,Îandé-te îapyk umẽ senõîa
Teço roupas,Aaó-pyasab
"Tremendo, então, a terra também",Yby abé a'ereme oryryîane
Fizeste que uma mulher se pusesse sobre ti para fazer sexo com ela?,Ereîmonhenongype kunhã nde 'arybo sesé eîkóbo?
Afligiu-o muito,Oîmomboreaûsu-katu
Pegou-se firmemente sua roupa com que ele foi castigado às suas chagas?,Oîar-atã serã i aoba i nupãsagûera i moperé-perebagûera resé?
"Existe a confissão, remédio portador de cura","Oîkobé îemombe'u, mosanga mûeîrabyîara"
"Ao vir eu, encontrei o que guardara","Xe rureme, asobaîtĩ xe remierekopûera"
Bem feito que adoeceu!,Iîá omba'easyramo!
"Mas não teve mãe, sendo Deus verdadeiro?",N'i xyîtepe Tupã-etéramo oîkóbo?
"Ah, bem feito para ele!",Iîá îaby ahẽ mã!
"Não sou diferente dele, pareço-me com ele",N'aîabyî
Escondendo ser parente legítimo dela,O mũetéramo sekó kuakupa
Fá-los-ei voar comigo,Arobebéne
"Eia vós, avante!",Pe katunhẽ
"capim que fica estalando, junco",kapi'ĩ-pururuka
Perdendo o entendimento por causa de sua bebedeira,Sabeypora suí 'ara mokanhema
Manquejo,Xe ate'ẽ
o que tem barba ruiva,sendybaá-îuba'e
Era muito grande aquela cruz?,Turusu-katupe a'e cruz erimba'e?
Faço-o ficar com firmeza,Ten amo'e
"Assim como esta água lava o corpo da gente, também aquela (lava)","Akó 'y asé reté moîasuka îabé, akûeîa îabé"
Pelo menos eu,Ixé te'ĩé
Defequei,Aka'ab
Dormiste muitas vezes com ódio?,Ereroker-etápe îoamotare'yma?
Destampa tua caixa para que eu veja tuas coisas,Eîaso'îabok nde karamemûã t'asepîak nde ma'e
Eu sou um circuncidado,Xe api'a
Queimar-vos-ão as chamas!,Pe rapy tataendyne!
Não prantear um ao outro (como forma de saudação) é modo de atentar contra si mesmo,Îoapirõe'yma rekóû îemomburûabamo nhẽ
conforme o dia,ara rupi
"Tu, em teus braços, Jesus ergueste","Endé, nde îybápe, Îesu eresupi"
Geração da alegria,Toryba nhemonhangaba
Eu estou ficando pensativo,Apyk gûitekóbo
"São um único e mesmo Deus esse Deus-Pai, Deus-Filho e Deus-Espírito Santo?","Oîepé Tupã memẽpe a'e Tupã-Tuba, Tupã-Ta'yra, Tupã-Espírito Santo?"
a que deseja a virtude,Tekokatu potasara
Eu estou fendido,Xe îurubok
como este,kó îá
Mas minha sujeira era muita,Xe ky'a-te turusu
e portanto,a'e emonãnamo
Eu iria inutilmente,Îepémo asó
Doador de nossa vida,Îandé rekobé me'engara
Como seus discípulos receberam-vos,O boîáramo pe rari
Eu estou de luto,Xe anhangyar
"Tu és a manhã, verdadeira alegria do dia","Nde ko'ema, 'ara rorypabeté"
Nós somos numerosos,Oré re'yî
"Ele está azedo demais (lit, azedo de doer)",Saîasy
Os chefes velhos falam sempre a eles,Morubixaba tuîba'e onhe'eng memẽ i xupé
Contas o nome de alguém quando te confessa o padre?,Ereîmombe'upe abá rera abaré nde monhemombegûápe?
Como se eu dissesse,Xe 'é îasûaramo n'aé
Quem ficou ali?,Abápe opytá a'epe?
"o que é sem mistura, puro, de uma só espécie",oîeperemõndûara
A gente os tem cada um o seu próprio (anjo da guarda)?,O îabi'õpe asé serekóû?
Eu lhe faço ninho,Asayty-monhang
"Eu sou o alegre Ibitirapé, do topo da montanha","Xe rory Ybytyrapé, ybytyrapûá suí"
Levei-o secretamente,Arasó-nhemim
Lançaste algum menino que estava aconchegado a ti sobre ti por desejo sensual?,Ereîtykype kunumĩ amõ nde abiîxûara nde 'arybo moropotara suí?
Eu sou curvadinho,Xe aparĩ
algodoal,amynyîu-tyba
"Que seja minha mãe, de fato",Xe syramongatu t'oîkó
mulher viúva,kunhã-mene'õ
Caso com uma mulher,Aîkó kunhã rupi
A ti nos apegamos,Oroby'a nde resé
"Ele, com a mãe de Deus, foi o que criou a Jesus, Deus",A'e niã Tupã sy irũnamo Tupã Jesus mongakuasaramo sekóû
Uma coisa amarga misturaram com vinagre,Mba'e-py'aûpîara kaûĩaîasy resé i monani
"de uma só parte, de um só lado",amongoty nhõ
São Filipe e São Tiago são os que devem ser honrados neste dia,"S Filipe, STiago kó 'ara i moetepyra"
couraça que tem muitas lâminas,itaoba i apenhugûã-nhugûanyba'e
dois homens,mokõî apŷaba
Não! Meu quinhão és tu!,Aã! Xe potaba nde!
"É terrível o senhor Jesus, fazendo tremer nosso inimigo","I abaeté pa'i Îesu, îandé sumarã mondyîa"
Fazendo-os levantar imediatamente,I mopu'ama kûeîeténe
Fiz-me homem,Anhemoabá
parede de casa,ó-pyá
Santa Maria está supondo a aproximação de seu parto,Santa Maria o membyrá-kakara omo'ã-mo'ang
Hospedar os peregrinos,Atara mombytá
Os antigos inimigos de São Lourenço,São Lourenço rupîarûera
"Tratemo-los bem, junto de nós",T'i rekó-katu îandébe
"Eis que aqui estou, procurando-te",Kó xe rekóû nde reká
Já veio,Our ugûan
ir para a guerra,marãmonhangápe só
Como Herodes mandou tratá-lo então?,Marãpe Herodes serekó-ukari a'epe?
Tendo-lhe amor,Saûsuba rerekóbo
"Já se juntaram por causa disso muitos moços bebedores de cauim, velhas e velhos também","Onheŷnhang umã sesé kunumĩetá kagûara, gûaîbĩ, tuîba'e abé"
"Arrepender-nos-emos, de coração, dos maus procedimentos",Îaîmoasy marãtekoagûera îandé py'a suíne
Cocei-o,Ase'yĩ
Vós me matais,Xe îuká peîepé
"Sempre os malditos para nós dizem maldades, mui perversamente",Memẽ nhẽ moxy îandébo marã e'i-memûã-memûã
Tu costumas levantar-te no lugar em que estás diante de teu pai?,Nde pu'amixûé nde îekûápe nde ruba pé?
Sobre ela morrendo Nosso Senhor para nos resgatar,I 'arybo omanõmo Îandé Îara îandé repyme'engagûera resé
"Transgridem, certamente, algumas vezes, somente",Oîaby ipó amõme é
Como diz a outra petição da gente?,Marã e'ipe amõaé asé îeruresaba?
Arredondei-o,Aîmoamandab
Não oporão resistência um ao outro,N'onherani xûéne o îoupéne
Estiveste deitado outrora sobre tua amante como um rufião?,Ereîubype erimba'e nde agûasá 'arybo nde arãíbamo?
Tu tiveste palavras muito resmungonas?,Nde nhe'ẽ-kuru-kurukype?
"Vinde, levai os malditos, erguendo-os, embrulhando-os","Peîori, perasó muru, supi i pokeka"
"Por não recear proclamar a fé em Deus, os pecadores mataram São Mateus","Tupã rerobîara mombe'u posykyîee'yma resé, angaîpaba São Mateus îukáû"
passagem costumeira de rio,Y-asapá-tyba
Poluiu-se outrora teu filho por tu o desejares?,O'ẽpe erimba'e nde membyra nde i potasápe?
passarinho,gûyrá-mirĩ
"o que quer mal, o que detesta",amotare'ymbara
"Não tenho pena das coisas (isto é, sou pródigo)",N'asaûsubari mba'e
"Não existem mais as suas antigas terras Todas, desde então, não contêm muita coisa",N'i tybangáî setãmbûera Opá akûeîme n'i poretáî
Tiveste cobiça pelas coisas de alguém?,Ereîemomotápe abá mba'e resé?
Nada,-Mba'epe aûîeramanhẽ serekopyrama ikó 'ara pupé? -Aani ã biã - Que é o que será conservado para sempre neste mundo?
"Os habitantes do céu afligiram-se, vendo-o humilhar-se",Ybakygûara onhemoputupab i nhemomoreaûsuba repîaka
Abundava o amor de Deus em teu coração outrora,Tynysẽ Tupã raûsuba nde nhy'ãme erimba'e
Que a gente manda pôr em seu aposento como objeto de seu olhar?,Mba'epe asé oîmoinukar o kotype o ma'ẽsabamo?
"Para visitar a aldeia, eu fui à serra","Taba supa, ybytyrype xe sóû"
Eu tenho (ou eu lanço) raízes,Xe rapó
Logo depois que morrerem irão para o céu os que foram assim desse jeito?,O manõ riremẽ serã emonã nungara sóû ybakypene?
"Não me faz palpitar o coração o diabo, visitando-me",Na xe mopy'atytyki Anhanga xe rapekóbo
Concluo que talvez isso seja assim,Emonã ûĩ re'a a'é
"Como diz alguém, tendo medo da morte, não querendo fazer estar por longo tempo sua falta de confissão?",Marã e'ipe abá te'õ suí onheangûabo o nhemombe'ue'yma mokûá-puku potare'yma?
Puxa-o rijamente!,Esekyî-atã!
"Em tuas mãos sentando-se, vai o menino","Nde pópe ogûapyka, osó kunumĩ"
Sua própria formosura também viram,O aysó abé osepîak
Porventura tornaram-se muito maus os homens?,Onhemoangaîpabeté serã apŷaba?
Eu sou terrível,Xe taŷgaíb
"Adão, nosso primeiro pai, fez-nos perder verdadeiramente, para nos queimarmos no fogo do diabo","Adão, oré rubypy, oré mokanhemeté, Anhanga ratápe nhẽ oré kaîaûama ri"
"Foram de novo alguns soldados para quebrar as pernas daqueles dois ladrões, fazendo-os descer consigo",Osó bé amõ maranaritekoara a'e mokõî mondá retymã mopena seroîypa
"Eu, dele perguntando, vim da minha casa","Ixé sesé gûiporandupa, xe roka suí aîu"
Todas as aldeias abrasou,Opabẽ taba mondyki
Sou leve,Abebuîkatu
Cubro-o,Aîaob
Com sua própria neta não pode ninguém casar-se,O emiminõ resé nd'e'ikatuî abá omendá
Ele há de ser (ou há de estar na condição de) teu espião!,Nde manhanamo t'oîkóne!
Lanço palavras contra ele,Aîtyk nhe'enga sesé
Dentro de um só pão vê tu a variedade de coisas,Oîepé mi'u pupé esepîak tekó paraba
"Adversária da morte, senhora da vida","Te'õ rupîara nhẽ, tekobé îara"
couraça com lâminas,itaoba i apenhugûã-nhugûanyba'e
"pena de tucano para dança (isto é, pena que os índios levavam comumente quando dançavam",tukana tá-poraseîa
Fi-lo suar,Asyaîká
Deram-lhe de beber?,-Oîmo'y'upe gûá?
O que tolera o que quer trabalhar nos feriados,Aretéreme i porabyky-potaryba'e mborypara
Eis que estou à vista de Deus,Tupã resápe ã xe rekóû
Cada vez que se lembra dela,Sesé o ma'enduara îabi'õ
"Peca muito o homem, benzendo falsamente as pessoas?",I angaîpabetépe abá oporomongaraiba'upa?
"Excitaste-o, querendo expelir teu sêmen?",Ereîkapyrokype nde ra'y-pupuka potá?
Acreditas em falsas oferendas?,Ererobîápe îetanonga'uba?
Pode a gente não proceder conforme o mandado do padre?,E'ikatupe asé abaré o pûaîtagûera rupi oîkoe'yma?
"Lourenço tostado atou minhas mãos, queimando-me, oprimindo-me","Rorẽ-ka'ẽ xe popûá, xe rapŷabo, xe apypyka"
Não há nada errado,N'i tybi mba'e-memûã
Não pode alguém casar-se com seu parente verdadeiro?,Nd'e'ikatuîpe abá o mũeté resé omendá?
Achaste-os por perto?,Mbype erebasẽ i xupé?
minha barba branca,xe rendybaá-tinga
Não respeitando o que Deus dissera,Tupã 'éagûera moabaetee'yma
"É formosa, certamente, a lua","Î aysó, nipó, îasy"
"Eu, Tatapitera, assim como meu grande fogo, inflamo os antigos ódios","Xe, Tatapytera, xe tatagûasu îabé, asapy nhemoŷrõmbûera"
"Compadeceste-te deles, procurando-lhes alimento?",Eresaûsubarype i poraká?
o avesso dele,i py
"Tudo, mesmo o que está no coração da gente, Deus vê?",Opakatupe Tupã asé py'apendûara tiruã repîaki?
Carpi,Akapir
Por isso mesmo todos os homens emagrecerão,Nd'e'i te'e opá abá angaîbaramo-ne
"Ao dizer ""Jesus"", o maldito tem medo","""Jesu"" 'éreme, moxy sykyîéû"
Quebra-se muitas vezes,Osó-osok
"peixão, peixe grande",piragûasu
Como disse aos seus três discípulos após sua entrada no horto?,Marã e'ipe o boîá mosapyr supé mitỹme o iké ré?
"Eu sou Guaixará bebedor de cauim, comedor de gente, queimador de gente, diabo trucidador de gente","Gûaîxará kagûara ixé, morûara, moroapŷara, anhanga morapitîara"
Está cheio teu ventre,I por nde rygé
homem covarde,abá-ekoetee'yma
Eu estou faminto,Xe ambyasy
"O próprio Deus a gente honra, de costume",Tupã aé namẽ asé oîmoeté
Nós nos igualamos um ao outro,Oronhomoîoîá
Apertei meus passos,Aîmoatã xe rapupa'ũ
É certo que foi?,Osó ruãpe é?
Ele secou,Typab
Olhando na ponta dos teus olhos,Nde resá-popybo ema'ẽmo
